025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM65Tactical, WGU-19-B, f/AIM-9R|A1427PM65
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM66WGU-4C/B, f/Sidewinder, AIM-9M-4|A1427PM66
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM67WGU-4D/B, f/Sidewinder AIM-9M-4|A1427PM67
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM68Tactical, w/o Wings and Fins, f/Sparrow RIM-7P (VL) BLK II|A1427PM68
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM69Tactical, WGU-4E/B, f/Sidewinder NAVAIR DWG 639AS9150|A1427PM69
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM70FIM-92F, STINGER-RMP, BLOCK-1, WEAPON ROUND COMPLETE, 3 BCU'S|A1427PM70
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM71GMIA-FIM-92F, STINGER MISSILE/ FMS EGYPT|A1427PM71
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM72FIM-92F, STINGER-MP, BLOCK 1, WEAPON ROUND COMPLETE, 2 BCU'S|A1427PM72
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PM73P/N: 83-43891; CAGE: 64059; LOSAT Kinetic Energy Missile (KEM)|A1427PM73
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PM74AMMO PM74 CANCELLED ON 101703 EXPENDED MK14 MOD 1 CANISTER W/EXPENDED MK10. W/O PHS&T.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |C1427PM74
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PM75AMMO PM75 REINSTATED ON 082306AMMO PM75 CANCELLED/REPLACED BY AMMO PL65 INC 31378, ON 062804 AMMO PM75 REINSTATED ON 072803AMMO PM75 CANCELLED/REPLACED BY AMMO PL65 INC 31378, ON 071703 T2K Unitary Guided Missile and Launching  Assembly; P/N 13330130; CAGE: 18876.|A1427PM75
052GUIDED MISSILE AND LAUNCHING ASSEMBLY,SURFACE ATTACK1427-PM76XM55; P/N: 13330347; CAGE: 18876|A1427PM76
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PM77APN 13303021-139; Model Number FGM-148D; JAVELIN|A1427PM77
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PM78WEAPON, ASSAULT, SHORT RANGE (SRAW) MULTI PURPOSE VARIANT (MPV) PACKAGED TWO (2) WEAPONS PER PLASTIC CONTAINER.  DWG/PART/REF: 7045705; CAGE: 53711|A1427PM78
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PM79APN 13603830 f/Patriot|A1427PM79
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PM80HEAT, (Dragon II) MK1 Mod 0|A1427PM80
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM81AMMO PM81 CANCELLED ON 122005 F/RIM-7P TACTICAL, P/N 917AS20101-2, W/PP++ AND P383 SOFTWARE UPGRADES.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |C1427PM81
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM82F/RIM-7P TACTICAL, P/N 917AS20101-2, W/P383 SOFTWARE UPGRADE.|A1427PM82
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM83AMMO PM83 CANCELLED ON 122005 F/RIM-7P TACTICAL, P/N 917AS20101-3, W/PP++ AND P383 SOFTWARE UPGRADES.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |C1427PM83
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM84F/RIM-7P TACTICAL, P/N 917AS20101-3, W/P383 SOFTWARE UPGRADE.|A1427PM84
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM85AMMO PM85 CANCELLED ON 122005 F/RIM-7P TACTICAL, P/N 917AS20663-2, W/PP++ AND P383 SOFTWARE UPGRADES.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |C1427PM85
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM86F/RIM-7P TACTICAL, P/N 917AS20663-2, W/P383 SOFTWARE UPGRADE.|A1427PM86
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM87AMMO PM87 CANCELLED ON 122005 F/RIM-7P TACTICAL, P/N 917AS20663-3, W/PP++ AND P383 SOFTWARE UPGRADES.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |C1427PM87
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM88F/RIM-7P TACTICAL, P/N 917AS20663-3, W/P383 SOFTWARE UPGRADES.|A1427PM88
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-PM89XM91E2; P/N 13604000; CAGE 18876|A1427PM89
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM90APN 13265735 FIM-92C, Stinger|A1427PM90
041GUIDED MISSILE SUBSYSTEM,INTERCEPT-AERIAL1427-PM91AIM-9P|A1427PM91
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PM92USED ON RAM BLK 1|A1427PM92
042GUIDED MISSILE AND LAUNCHER,SURFACE ATTACK1427-PM93APN 13497720-039; Model Number FGM-148E; JAVELIN|A1427PM93
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-PY40CAGE 82577  P/N 3647140-100   WGU-13/B Type Designator|A1427PY40
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-RY08WGU-28/B F/AGM-65D MISSILE|A1427RY08
055CANISTER ASSEMBLY,GUIDED MISSILE,AND LAUNCHING ASSEMBLY1427-WF33P/N 13506000; Includes four Patriot Missiles; explosive weight - 14,040 lbs.|A1427WF33
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-WY55P/N 120681-1; LOCKHEED MARTIN CORP. F/AIM-9 MISSILE|A1427WY55
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-WY67P/N 7435707; WR-ALC F/AIM-9J MISSILE|A1427WY67
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-WY73P/N 7630392; WR-ALC F/AIM-9E MISSILE|A1427WY73
043GUIDANCE AND CONTROL SECTION,GUIDED MISSILE1427-WY95P/N 7938112-10; WR-ALC F/AIM-9B MISSILE|A1427WY95
044BATTERY-COOLANT UNIT,GUIDED MISSILE LAUNCHER1440-PN01w/20 MG Lead Azide, f/Stinger|A1440PN01
031LAUNCHER,TUBULAR,GUIDED MISSILE1440-PN02XM171/M171, Redeye|A1440PN02
044BATTERY-COOLANT UNIT,GUIDED MISSILE LAUNCHER1440-PN03AMMO PN03 CANCELLED ON 050295 MX-7366/(XO), Redeye                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |C1440PN03
031LAUNCHER,TUBULAR,GUIDED MISSILE1440-PN04APN 13049470 Stinger|A1440PN04
031LAUNCHER,TUBULAR,GUIDED MISSILE1440-PN05AMMO PN05 CANCELLED ON 050295 APN 10211288 Redeye                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |C1440PN05
031LAUNCHER,TUBULAR,GUIDED MISSILE1440-PN06AMMO PN06 CANCELLED ON 050295 APN 10215747 Redeye                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |C1440PN06
047GRIPSTOCK-CONTROL GROUP,GUIDED MISSILE LAUNCHER1440-PN07P/N 13480228|A1440PN07
047GRIPSTOCK-CONTROL GROUP,GUIDED MISSILE LAUNCHER1440-PN08P/N 7349719|A1440PN08
052LAUNCHING STATION,GUIDED MISSILE,SEMITRAILER MOUNTED1440-PN09CAGE 18876 P/N 13742425         Patriot Missile|A1440PN09
047GRIPSTOCK-CONTROL GROUP,GUIDED MISSILE LAUNCHER1440-PN15APN 11486959 and 13056705 Stinger|A1440PN15
047GRIPSTOCK-CONTROL GROUP,GUIDED MISSILE LAUNCHER1440-PN16APN 13251828 Stinger|A1440PN16
047GRIPSTOCK-CONTROL GROUP,GUIDED MISSILE LAUNCHER1440-PN17APN 13012385 Stinger|A1440PN17
032LAUNCHER,GUIDED MISSILE,AIRCRAFT1440-RY07LAU-117A(V)1/A F/F-4D/E AIRCRAFT|A1440RY07
040SKID,SHIPPING AND STORAGE,GUIDED MISSILE1450-PR01MK 30 Mods|A1450PR01
028BEAM,HOISTING,GUIDED MISSILE1450-PR02BEAM, UPPERSTAGE, SM2 BLOCK 4, MARK 58 MOD 0|A1450PR02
028BEAM,HOISTING,GUIDED MISSILE1450-PR03BEAM, HOISTING, MARK 61 MOD 0 F/DUAL THRUST ROCKET MOTOR, SM-2 BLOCK 4.|A1450PR03
028BEAM,HOISTING,GUIDED MISSILE1450-PR04BEAM, MARK 62 MOD 0 F/SM-2 BLOCK 4.|A1450PR04
028BEAM,HOISTING,GUIDED MISSILE1450-PR06Beam MK65 Mod0 f/Standard Missile-2 BLK IV and IVA Standard Missile-3|A1450PR06
028BEAM,HOISTING,GUIDED MISSILE1450-PR08Beam MK64 Mod 0. f/Standard Missile|A1450PR08
028BEAM,HOISTING,GUIDED MISSILE1450-PR09Beam, Mk63 mod0 f/ESSM|A1450PR09
028BEAM,HOISTING,GUIDED MISSILE1450-PR10HOISTING BEAM GUIDED MISSILE, MK70 MOD-0, FOR PACK/UNPACK & HANDLING OF SM-3 3RD STAGE ELEMENT.|A1450PR10
028BEAM,HOISTING,GUIDED MISSILE1450-PR11MK71 MOD 0, TO ACCOMMODATE VARIOUS EVOLVED SEASPARROW MISSILES (ESSM) CONFIGURATIONS.|A1450PR11
029SUPPORT,GUIDED MISSILE CRADLE1450-PR13CAGE 82918  P/N F464-75594-4  Cradle Assemble, MOP Loader Adapter (MLA)|A1450PR13
038PROPELLANT DRAINING KIT,GUIDED MISSILE1450-PR40APN 10293020, Lance|A1450PR40
020TRUCK,GUIDED MISSILE1450-PR50STEEL; 229.75 IN LG; 42.50 IN W; 56.00 IN H; 4 RIGID CASTER ROLLING ELEMENTS|A1450PR50
022CANISTER,MINE,TRAINING6910-HZ02Cage 19200  P/N 12927323  Canister Mine Training M89 (volcano)|A6910HZ02
017TRAINING AID,FUZE6910-NA14Training Fuze for Artillery, XM782|A6910NA14
029IGNITER,ROCKET MOTOR,TRAINING6920-AY44P/N 69D49351P1; SPACE AND MISSILE SYSTEMS ORG. F/LGM-30 MISSILE|A6920AY44
031WARHEAD,GUIDED MISSILE,TRAINING6920-BWCYCAGE 82577  P/N 7019730-1|A6920BWCY
039CONTROL SECTION,GUIDED MISSILE,TRAINING6920-BWEYCAGE 82577  7006040-1|A6920BWEY
042PROPULSION SECTION,GUIDED MISSILE,TRAINING6920-BWFVCAGE 82577  P/N 7019731-3|A6920BWFV
040GUIDANCE SECTION,GUIDED MISSILE,TRAINING6920-BWMSCAGE 30003  P/N 233AS2223    APKWS|A6920BWMS
046WARHEAD SECTION,762 MILLIMETER ROCKET,TRAINING6920-J501M42|A6920J501
046WARHEAD SECTION,762 MILLIMETER ROCKET,TRAINING6920-J504M132|A6920J504
023TRAINING KIT,DEMOLITION6920-MZ06XM324, RWBK, Rapid Wall Breaching Kit.|A6920MZ06
037DUMMY GUIDANCE SECTION,GUIDED MISSILE6920-PF20P/N: 1568632|A6920PF20
047GUIDED MISSILE SYSTEM,INTERCEPT-AERIAL,TRAINING6920-PJ25XM49E3 Redeye|A6920PJ25
023GUIDED MISSILE,TRAINING6920-PY15CAGE 82577  P/N 3647136-100 Shipped in CNU-447/E Container for CATM-65F|A6920PY15
023GUIDED MISSILE,TRAINING6920-PY30All Up Round, P/N: 3647109-101|A6920PY30
023GUIDED MISSILE,TRAINING6920-PY69CAGE 15090  P/N 3819513-100   CATM-120C|A6920PY69
023GUIDED MISSILE,TRAINING6920-PY82All Up Round, P/N: 3647109-105|A6920PY82
040GUIDANCE SECTION,GUIDED MISSILE,TRAINING6920-P582WGU-55/B; for CATM AIM-120D Missile; P/N: 3819636-1; CAGE: 15090|A6920P582
023TRAINING KIT,DEMOLITION6920-QL17Training Kit, Demolition, Rapid Wall Breaching Kit, XM 323, 1- M19 Initiator, 2-Igniters|A6920QL17
040GUIDANCE SECTION,GUIDED MISSILE,TRAINING6920-QL18GCS, P/N: 3647119-101|A6920QL18
040GUIDANCE SECTION,GUIDED MISSILE,TRAINING6920-QL19GCS, P/N: 3647116-102|A6920QL19
023GUIDED MISSILE,TRAINING6920-QL20MISSILE,VERTICAL LAUNCH ASROC,TRAINING WARSHOT MK54 INERT PAYLOAD.|A6920QL20
023TRAINING KIT,DEMOLITION6920-QL21Restricted purchase, TD-SYDET trainer.|A6920QL21
049GUIDANCE AND CONTROL SECTION,GUIDED BOMB,TRAINING6920-QL22GUIDANCE AND CONTROL SECTION, GUIDED BOMB WGU-53(D-2)B,W/ADAPTER GROUP, LOAD TRAINER.|A6920QL22
039WARHEAD SECTION,GUIDED MISSILE,TRAINING6920-QL23Warhead Section for the CATM-120D which is the inert captive-carry training version of the AIM-120D.|A6920QL23
